purchase_id,product_id,date,time,quantity,price,customer_id,card_id,Feedback
6d2ef7fd-19ed-4099-bc56-eea2f9ac0e6d,80,18/10/15,4:22 PM,19,17165.17,1,1e067c13-1c62-4405-a2f4-8f523d11ad79,
771d35f8-757f-4ee4-92c3-2afe6d760d50,166,26/08/22,7:40 PM,24,4389.6,1,1e067c13-1c62-4405-a2f4-8f523d11ad79,
33fce93e-7dc7-443c-b39d-efc6c91edc8c,280,10/04/17,4:30 AM,5,665,1,1e067c13-1c62-4405-a2f4-8f523d11ad79,
04e7fb4b-2d84-40e6-96c0-b11b5b9a066f,318,08/11/14,1:07 AM,9,5984.37,1,1e067c13-1c62-4405-a2f4-8f523d11ad79,
0a0fd756-5847-4860-a55a-538b581b4465,36,30/06/11,2:24 AM,11,8022.96,2,3f988bb8-3a35-426c-865b-19ec42409874,
393adfc7-ab06-4f48-a455-739dff8c791a,380,25/09/15,8:20 AM,8,7520.64,2,3f988bb8-3a35-426c-865b-19ec42409874,
6966b263-3836-4cfb-ad27-1d9e4e86a119,567,15/06/15,1:32 PM,3,459.48,2,3f988bb8-3a35-426c-865b-19ec42409874,
5d0d095c-c438-4aad-acb2-b5c13a51c47a,572,04/02/19,6:13 AM,6,1098.24,2,3f988bb8-3a35-426c-865b-19ec42409874,Mango is not dried
4abb49ea-4899-4932-a793-62e5c34d2d51,334,16/10/14,5:51 AM,18,6805.44,3,7574dbfb-a36d-421a-8661-631ca78ef219,
2c824d02-009e-4451-afda-57c819a9fc3b,413,10/01/15,10:31 PM,16,12158.88,3,7574dbfb-a36d-421a-8661-631ca78ef219,
405f5dd1-aeb9-4acf-8ace-96f258f34bb6,469,10/02/13,7:14 AM,1,447.29,3,7574dbfb-a36d-421a-8661-631ca78ef219,Chicken is rotten in taco
72c2b7ad-4777-40d9-895c-3d965726127c,506,02/03/11,2:02 PM,16,14584.8,3,7574dbfb-a36d-421a-8661-631ca78ef219,
22afd362-83e8-4585-add6-a42879cb4623,9,02/11/10,3:00 AM,18,4344.66,4,2d7d790b-3eae-49b0-89f3-00093449cd66,
bf34a531-fa8b-4bb1-b0c9-0bdb28441c46,27,01/02/20,2:14 AM,19,8996.31,4,2d7d790b-3eae-49b0-89f3-00093449cd66,There is no ham in roll
7b886f09-c583-4d44-a7ee-18f364877eb7,51,05/05/10,7:46 AM,25,16025.75,4,2d7d790b-3eae-49b0-89f3-00093449cd66,
3eb6fe21-e06e-458b-9798-111a3dcdb961,284,03/04/16,1:37 AM,17,7278.38,4,2d7d790b-3eae-49b0-89f3-00093449cd66,
1d1778d8-afb9-442d-8604-b16f7e4fae59,288,17/05/21,2:33 AM,8,5989.28,4,2d7d790b-3eae-49b0-89f3-00093449cd66,
373163ce-2127-449b-9c83-19d5349b7aa0,335,10/09/17,11:36 AM,16,12893.92,4,2d7d790b-3eae-49b0-89f3-00093449cd66,
08581670-2abd-4980-94a3-c484b030a27f,398,23/07/20,2:19 PM,2,123.56,4,2d7d790b-3eae-49b0-89f3-00093449cd66,
4fa34d6d-1573-4760-baa7-314bac9e2c46,68,01/12/13,10:07 AM,20,9532,5,7b14102c-d571-41e8-87b7-cea0c2fbd3ef,
